og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
"In late morning trading, the Dow was up 13.88, or 0.2 percent, at 9,002.93, having shed 2.3 percent last week.","In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday.","In late morning trading, the Dow was up 13.88, or 0.2 percent, at 9,002.93, having shed 2.3 percent last week.","In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday.",0,0,no need to correct
"Ryland Group (nyse: RYL - news - people), a homebuilder and mortgage-finance company, sank $9.65, or 11.6 percent, to $73.40.","Swedish telecom equipment maker Ericsson (nasdaq: QCOM - news - people) jumped $2.88, or 15.7 percent, to $21.28.","Ryland Group (nyse: RYL - news - people), a homebuilder and mortgage-finance company, sank $9.65, or 11.6 percent, to $73.40.","Swedish telecom equipment maker Ericsson (nasdaq: QCOM - news - people) jumped $2.88, or 15.7 percent, to $21.28.",0,0,no need to correct
Corixa shares rose 54 cents to $7.74 yesterday on the Nasdaq Stock Market.,"Shares of Corixa rose 54 cents, or about 8 percent, to close at $7.74.",Corixa shares rose 54 cents to $7.74 yesterday on the Nasdaq Stock Market.,"Shares of Corixa rose 54 cents, or about 8 percent, to close at $7.74.",0,0,no need to correct
PeopleSoft's board now has 10 business days to evaluate the Oracle offer and make a recommendation to its shareholders.,"Nevertheless, PeopleSoft must review Oracle's tender offer and make a recommendation to shareholders.",PeopleSoft's board now has 10 business days to evaluate the Oracle offer and make a recommendation to its shareholders.,"Nevertheless, PeopleSoft must review Oracle's tender offer and make a recommendation to shareholders.",1,0,can't correct
"They named the man charged as Noureddinne Mouleff, a 36-year-old of North African origin who was arrested in the southern coastal town of Eastbourne last week.","Last week, Nur al-Din Muliff, a 36-year-old of North African origin, was arrested in the southern coastal town of Eastbourne.","They named the man charged as Noureddinne Mouleff, a 36-year-old of North African origin who was arrested in the southern coastal town of Eastbourne last week.","Last week, Noureddinne Mouleff, a 36-year-old of North African origin, was arrested in the southern coastal town of Eastbourne.",1,1,corrected
"They named the man charged as Noureddinne Mouleff, a 36-year-old of North African origin who was arrested in the southern coastal town of Eastbourne last week.","Last week, Nur al-Din Muliff, a 36-year-old of North African origin, was arrested in the southern coastal town of Eastbourne.","They named the man charged as Nur al-Din Muliff, a 36-year-old of North African origin who was arrested in the southern coastal town of Eastbourne last week.","Last week, Nur al-Din Muliff, a 36-year-old of North African origin, was arrested in the southern coastal town of Eastbourne.",1,1,corrected
"Fatalities in rollover crashes accounted for 82 percent of the increase in 2002, NHTSA said.",Alcohol-related fatalities accounted for 41 percent of the total number of deaths.,"Fatalities in rollover crashes accounted for 82 percent of the increase in 2002, NHTSA said.",Alcohol-related fatalities accounted for 41 percent of the total number of deaths.,0,0,no need to correct
"His next play, ""Will Success Spoil Rock Hunter?"" a satire on Hollywood, lasted more than a year on Broadway.","His next play, Will Success Spoil Rock Hunter?, lasted more than a year on Broadway and was also filmed by Fox.","His next play, ""Will Success Spoil Rock Hunter?"" a satire on Hollywood, lasted more than a year on Broadway.","His next play, Will Success Spoil Rock Hunter?, lasted more than a year on Broadway and was also filmed by Fox.",0,0,no need to correct
"""I am unaware of any genuine entries concerning British servicemen in the police records,"" said a spokesman for the British High Commission in Nairobi yesterday.","""I am therefore unaware of any genuine entries concerning rapes by British servicemen in police records,"" the spokesman said.","""I am unaware of any genuine entries concerning British servicemen in the police records,"" said a spokesman for the British High Commission in Nairobi yesterday.","""I am therefore unaware of any genuine entries concerning rapes by British servicemen in police records,"" the spokesman said.",1,0,can't correct
Amrozi said Jews and the US and its allies had evil plans to colonise countries like Indonesia.,"Jews, Americans and their allies had ""evil"" plans to colonise nations like Indonesia, Amrozi said.",Amrozi said Jews and the US and its allies had evil plans to colonise countries like Indonesia.,"Jews, Americans and their allies had ""evil"" plans to colonise nations like Indonesia, Amrozi said.",1,0,can't correct
"It is so far out in international water that the finder Odyssey Marine Exploration, of Tampa, Fla., does not have to share the wealth with any governments.","And because it is so far out in international water, salvage company Odyssey Marine Exploration doesn't have to share the wealth with coastal state governments.","It is so far out in international water that the finder Odyssey Marine Exploration, of Tampa, Fla., does not have to share the wealth with any governments.","And because it is so far out in international water, salvage company Odyssey Marine Exploration doesn't have to share the wealth with coastal state governments.",1,0,can't correct
An unclear number of people were killed and more injured.,Four people were killed and 50 injured in the attacks.,An unclear number of people were killed and more injured.,Four people were killed and 50 injured in the attacks.,1,0,can't correct
"Law enforcement sources who spoke on condition of anonymity confirmed to The Associated Press that Limbaugh was being investigated by the Palm Beach County, Fla., state attorney's office.","Law enforcement officials confirmed that Limbaugh was being investigated by the Palm Beach County, Fla., state attorney's office.","Law enforcement sources who spoke on condition of anonymity confirmed to The Associated Press that Limbaugh was being investigated by the Palm Beach County, Fla., state attorney's office.","Law enforcement officials confirmed that Limbaugh was being investigated by the Palm Beach County, Fla., state attorney's office.",1,0,can't correct
